
S 3 10 12

1E5
      1     10    20    30    40    50    60    70    80    89
2       -98 	-96 	-49 	-8  	-4  	-2  	-11  	-17 	-11  	-1
3       -100	-100	-86 	-38 	-2  	0   	-2  	-8  	-10 	-2
4       -97 	-100	-99 	-83 	-45 	-10  	-5  	-6  	-7  	-3
5       -45       -100  -100	-97 	-84 	-57 	-26 	-16 	-13 	-10
6       -32 	-99   -100  -98 	-93 	-82 	-62 	-40 	-33 	-18
7       -28 	-91 	-99 	-98 	-94 	-88 	-74 	-57 	-49 	-22
8       -24 	-50 	-99 	-97 	-93 	-86 	-75 	-60 	-52 	-25
10      -19 	-19 	-73 	-96 	-92 	-84 	-72 	-59 	-47 	-30
12      -16 	-15 	-21 	-79 	-90 	-82 	-70 	-56 	-45 	-35
14      -13 	-13 	-13 	-30 	-76 	-79 	-68 	-53 	-41 	-37
16      -12 	-12 	-12 	-11 	-37 	-65 	-64 	-51 	-38 	-39
20      -8  	-8  	-6  	-6  	-6  	-14 	-25 	-30 	-26 	-30

1E6
      1     10    20    30    40    50    60    70    80    89
2       -87 	-73  	-8  	-3  	0   	0   	-1   	-7  	-6   	-1
3       -100	-100	-45 	0   	0   	0   	0   	-1  	-3  	-1
4       -97       -100	-91 	-32  	-1  	0   	0   	0   	0   	0
5       -45 	-100	-99 	-83 	-33 	-3  	-1  	0   	0   	-1
6       -32 	-99 	-100	-96 	-78 	-40 	-11 	-4  	-1  	-7
7       -28 	-91 	-99 	-98 	-91 	-74 	-46 	-24  	-15 	-17
8       -24 	-50 	-99 	-97 	-93 	-83 	-67 	-48 	 -38	-24
10      -20 	-20 	-74 	-96 	-92 	-84 	-72 	-59 	-46 	-30
12      -16 	-16 	-21 	-80 	-90 	-82 	-70 	-56 	-44 	-35
14      -14 	-14 	-14 	-31 	-76 	-79 	-68 	-54 	-41 	-39
16      -13 	-12 	-12 	-13 	-38 	-66 	-64 	-51 	-38 	-41
20      -10 	-9  	-9  	-9  	-8  	-14 	-27 	-31 	-26  	-35

1E7
      1     10    20    30    40    50    60    70    80    89
2       -66 	-27 	-1  	 0  	0   	0   	0   	0   	-2  	-1
3       -99 	-96 	-6  	 0  	0   	0   	0   	0   	0   	0
4       -97     -100	-48 	-1  	0   	0   	0   	0   	0   	0
5       -45     -100	-94 	-27 	-1  	0   	0   	0   	0   	0
6       -32 	-99 	-99 	-81 	-21 	-1  	0   	0   	0   	0
7       -28 	-91 	-99 	-95 	-67 	-20  	-2  	0   	0   	-3
8       -24 	-50 	-99 	-97 	-88 	-60 	-24 	-6  	-2  	-12
10      -20 	-20 	-74 	-96 	-92 	-83 	-67 	-50 	-35 	-29
12      -16 	-16 	-21 	-80 	-90 	-82 	-70 	-55 	-43 	-35
14      -14 	-14 	-14 	-31 	-76 	-79 	-68 	-53   -41   -39
16      -13 	-12 	-12 	-13 	-38 	-66 	-64 	-51 	-38 	-41
20      -10 	-10 	-9  	-9  	-8  	-14 	-27 	-31  	-26 	-36
