
S 3 10 12

1E5
      1     10    20    30    40    50    60    70    80    89
2  0	1	1	1	1	0	4	10	13	14
3  0	1	2	2	0	0	0	3	9	14
4  0	0	2	3	3	1	1	2	5	24
5  0	0	1	3	4	5	4	4	7	55
6  0	0	1	2	4	6	8	9	15	84
7  0	0	1	2	4	6	8	10	19	90
8  0	0	1	2	3	5	7	10	18	90
10 0	0	1	1	2	4	5	8	13	87
12 0	0	0	1	2	3	4	6	10	84
14 0	0	0	0	1	3	3	5	9	80
16 0	0	0	0	1	2	3	5	7	76
20 0	0	0     0	0	0	1	2	4	53

1E6
      1     10    20    30    40    50    60    70    80    89			
2  0	1	0	0	0	0	0	4	7	13
3  0	0	1	0	0	0	0	0	3	7
4  0	0	1	1	0	0	0	0	0	3
5  0	0	1	2	2	0	0	0	0	7
6  0	0	1	2	3	3	1	1	1	33
7  0	0	1	2	4	5	5	4	6	10
8  0	0	1	2	3	5	6	8	13	84
10 0	0	1	1	2	4	5	8	13	87
12 0	0	0	1	2	3	4	6	10	84
14 0	0	0	0	2	3	4	5	8	79
16 0	0	0	0	1	2	3	4	7	74
20 0	0	0	0	0	0	1	2	4	51

1E7			
      1     10    20    30    40    50    60    70    80    89
2  0	0	0	0	0	0	0	0	3	9
3  0	0	0	0	0	0	0	0	0	1
4  0	0	1	0	0	0	0	0	0	0
5  0	0	1	1	0	0	0	0	0	0
6  0	0	1	2	1	0	0	0	0	0
7  0	0	1	2	3	1	0	0	0	10
8  0	0	1	2	3	3	2	1	1	41
10 0	0	1	1	2	4	5	7	10	82
12 0	0	0	1	2	3	4	6	10	83
14 0	0	0	0	2	3	4	5	8	79
16 0	0	0	0	1	2	3	4	7	74
20 0	0	0	0	0	0	1	2	4	51
