0 1,29594489304487
0,01 1,33137174531716
0,02 1,38434913661932
0,03 1,41464772506043
0,04 1,45443422142548
0,05 1,50539176918113
0,06 1,5308788420215
0,07 1,57586545068029
0,08 1,59136153077329
0,09 1,62334346630587
0,1 1,65518550870313
0,11 1,67327194764203
0,12 1,71024619139934
0,13 1,70805927391211
0,14 1,73711989317124
0,15 1,76611787996866
0,16 1,78151612859257
0,17 1,81281856654884
0,18 1,78863458550218
0,19 1,80388179983821
0,2 1,82451773612975
0,21 1,83599888512376
0,22 1,87189613334057
0,23 1,86330342224908
0,24 1,90364458246928
0,25 1,95908936175045
0,26 2,00658173358579
0,27 2,08508889155844
0,28 2,11262065205551
0,29 2,18130456700767
0,3 2,24402155363891
0,31 2,30239157792371
0,32 2,37035231964009
0,33 2,39003896578167
0,34 2,45189017534635
0,35 2,50738009323268
0,36 2,55929443480547
0,37 2,61603045835645
0,38 2,62454006405871
0,39 2,657550489837
0,4 2,66284039782769
0,41 2,66579215881202
0,42 2,66970828181689
0,43 2,65760006204138
0,44 2,66756201585466
0,45 2,66407558994907
0,46 2,66131547718522
0,47 2,66423831887581
0,48 2,66044690355857
0,49 2,66390325264816
0,5 2,67391244535249
0,51 2,68427126402393
0,52 2,68442324623133
0,53 2,68716587933885
0,54 2,66475984252537
0,55 2,62996960723177
0,56 2,58629501265601
0,57 2,52910586178107
0,58 2,51360758204623
0,59 2,4649240301783
0,6 2,43217013415411
0,61 2,41223981078497
0,62 2,40513146895306
0,63 2,42790277685893
0,64 2,4307105696817
0,65 2,45755400855156
0,66 2,48876156847924
0,67 2,5273488347173
0,68 2,55677468341047
0,69 2,54447065369243
0,7 2,52384255783591
0,71 2,47918989073165
0,72 2,41576367988519
0,73 2,39907116536487
0,74 2,31154236922905
0,75 2,23385037341903
0,76 2,13815041056602
0,77 2,01767378492333
0,78 1,95450279955156
0,79 1,8227898771584
0,8 1,71903999157541
0,81 1,60481282884163
0,82 1,48924262163179
0,83 1,43652026246556
0,84 1,33258007094195
0,85 1,26684120353371
0,86 1,19496164740433
0,87 1,13697667944472
0,88 1,12242119668886
0,89 1,07592648539558
0,9 1,07025792906644
0,91 1,04915592805308
0,92 1,05292809806788
0,93 1,07031341100208
0,94 1,08571806855152
0,95 1,12046710688229
0,96 1,14115916007202
0,97 1,18172218536924
0,98 1,20926578389548
0,99 1,24261658342591
