Rad = 05,00 Teff = 3560,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,8209E009; NewMaxFlx = 0,9833
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,2055E009; NewMaxFlx = 1,1991
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,9087E009; NewMaxFlx = 1,4324
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,8198E009; NewMaxFlx = 1,6996
Rad = 05,00 Teff = 3660,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,8211E009; NewMaxFlx = 0,9833
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,2057E009; NewMaxFlx = 1,1990
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,9092E009; NewMaxFlx = 1,4322
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,8202E009; NewMaxFlx = 1,6994
Rad = 05,00 Teff = 3760,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,8212E009; NewMaxFlx = 0,9832
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,2060E009; NewMaxFlx = 1,1988
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,9097E009; NewMaxFlx = 1,4321
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,8206E009; NewMaxFlx = 1,6992
Rad = 05,00 Teff = 3860,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,8213E009; NewMaxFlx = 0,9831
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,2062E009; NewMaxFlx = 1,1987
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,9102E009; NewMaxFlx = 1,4319
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,8210E009; NewMaxFlx = 1,6989
Rad = 05,00 Teff = 3960,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,8215E009; NewMaxFlx = 0,9830
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,2065E009; NewMaxFlx = 1,1986
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,9108E009; NewMaxFlx = 1,4317
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,8214E009; NewMaxFlx = 1,6987
Rad = 05,00 Teff = 4060,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,8217E009; NewMaxFlx = 0,9829
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,2068E009; NewMaxFlx = 1,1984
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,9114E009; NewMaxFlx = 1,4314
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,8218E009; NewMaxFlx = 1,6984
Rad = 05,00 Teff = 4160,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,8220E009; NewMaxFlx = 0,9828
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,2071E009; NewMaxFlx = 1,1982
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,9121E009; NewMaxFlx = 1,4312
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,8223E009; NewMaxFlx = 1,6981
Rad = 05,00 Teff = 4260,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,8223E009; NewMaxFlx = 0,9826
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,2075E009; NewMaxFlx = 1,1980
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,9129E009; NewMaxFlx = 1,4309
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,8228E009; NewMaxFlx = 1,6978
Rad = 05,00 Teff = 4360,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,8227E009; NewMaxFlx = 0,9824
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,2080E009; NewMaxFlx = 1,1977
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,9138E009; NewMaxFlx = 1,4306
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,8234E009; NewMaxFlx = 1,6974
Rad = 05,00 Teff = 4460,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,8232E009; NewMaxFlx = 0,9821
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,2086E009; NewMaxFlx = 1,1974
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,9148E009; NewMaxFlx = 1,4302
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,8241E009; NewMaxFlx = 1,6970
Rad = 15,00 Teff = 3560,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7916E009; NewMaxFlx = 0,9994
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1685E009; NewMaxFlx = 1,2195
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,8424E009; NewMaxFlx = 1,4571
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7742E009; NewMaxFlx = 1,7275
Rad = 15,00 Teff = 3660,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7927E009; NewMaxFlx = 0,9988
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1704E009; NewMaxFlx = 1,2185
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,8465E009; NewMaxFlx = 1,4556
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7776E009; NewMaxFlx = 1,7254
Rad = 15,00 Teff = 3760,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7939E009; NewMaxFlx = 0,9981
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1724E009; NewMaxFlx = 1,2173
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,8509E009; NewMaxFlx = 1,4539
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7811E009; NewMaxFlx = 1,7233
Rad = 15,00 Teff = 3860,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7953E009; NewMaxFlx = 0,9974
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1747E009; NewMaxFlx = 1,2161
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,8557E009; NewMaxFlx = 1,4521
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7848E009; NewMaxFlx = 1,7210
Rad = 15,00 Teff = 3960,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7969E009; NewMaxFlx = 0,9965
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1771E009; NewMaxFlx = 1,2147
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,8609E009; NewMaxFlx = 1,4502
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7886E009; NewMaxFlx = 1,7187
Rad = 15,00 Teff = 4060,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7988E009; NewMaxFlx = 0,9954
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1799E009; NewMaxFlx = 1,2132
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,8667E009; NewMaxFlx = 1,4480
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7926E009; NewMaxFlx = 1,7162
Rad = 15,00 Teff = 4160,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,8011E009; NewMaxFlx = 0,9942
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1831E009; NewMaxFlx = 1,2114
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,8730E009; NewMaxFlx = 1,4456
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7969E009; NewMaxFlx = 1,7135
Rad = 15,00 Teff = 4260,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,8040E009; NewMaxFlx = 0,9926
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1869E009; NewMaxFlx = 1,2093
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,8800E009; NewMaxFlx = 1,4430
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,8017E009; NewMaxFlx = 1,7106
Rad = 15,00 Teff = 4360,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,8077E009; NewMaxFlx = 0,9905
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1915E009; NewMaxFlx = 1,2067
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,8880E009; NewMaxFlx = 1,4400
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,8070E009; NewMaxFlx = 1,7074
Rad = 15,00 Teff = 4460,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,8124E009; NewMaxFlx = 0,9879
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1970E009; NewMaxFlx = 1,2037
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,8970E009; NewMaxFlx = 1,4367
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,8128E009; NewMaxFlx = 1,7038
Rad = 25,00 Teff = 3560,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7286E009; NewMaxFlx = 1,0358
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,0918E009; NewMaxFlx = 1,2643
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,7078E009; NewMaxFlx = 1,5100
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,6833E009; NewMaxFlx = 1,7861
Rad = 25,00 Teff = 3660,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7317E009; NewMaxFlx = 1,0340
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,0971E009; NewMaxFlx = 1,2611
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,7192E009; NewMaxFlx = 1,5054
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,6926E009; NewMaxFlx = 1,7799
Rad = 25,00 Teff = 3760,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7352E009; NewMaxFlx = 1,0319
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1028E009; NewMaxFlx = 1,2577
