NNLS: Solver (v) 1.0
(c) 2010 Suvrit Sra
Matrix = 12121800 bytes, rhs = 10680 bytes
Extra Memory used=207884 bytes
Time		Obj
0.234	3.7774446e+078	1.2101364e+078
0.359	1.4842648e+078	1.9095258e+077
0.484	4.6993798e+077	8.048952e+076
0.609	1.7284894e+077	3.9081966e+076
0.734	6.7522571e+076	1.9886529e+076
0.859	2.6364237e+076	1.0430162e+076
0.969	9.1823063e+075	5.8281923e+075
1.094	2.5401579e+075	2.2777664e+075
1.219	8.0523996e+074	9.6576544e+074
1.344	2.5285424e+074	4.5277e+074
1.469	8.6879632e+073	2.0540053e+074
1.594	4.1274685e+073	1.2459036e+074
1.703	1.7356585e+073	7.3629793e+073
1.828	2.9087751e+072	4.5119258e+073
1.953	1.4256568e+072	6.8431885e+072
2.062	1.1020303e+072	3.6778147e+072
2.187	3.9770372e+071	1.8912552e+072
2.312	1.0286891e+071	1.0563896e+072
2.437	7.3885056e+070	4.553663e+071
2.547	1.6650307e+070	3.8992447e+071
2.672	2.3568533e+068	1.8515866e+071
2.781	2.3568543e+066	2.2023448e+070
2.906	2.3568556e+064	2.2026775e+069
3.031	2.3568569e+062	2.2033798e+068
3.156	2.3568582e+060	2.2040819e+067
3.265	2.3568595e+058	2.2047838e+066
3.390	2.3568608e+056	2.2054854e+065
3.515	2.356862e+054	2.2061868e+064
3.640	2.3568633e+052	2.206888e+063
3.765	2.3568646e+050	2.2075889e+062
3.890	2.3568659e+048	2.2082897e+061
4.000	2.3568671e+046	2.2089902e+060
4.125	2.3568684e+044	2.2096904e+059
4.250	2.3568697e+042	2.2103905e+058
4.375	2.356871e+040	2.2110903e+057
4.500	2.3568722e+038	2.2117899e+056
4.625	2.3568735e+036	2.2124893e+055
4.734	2.3568748e+034	2.2131884e+054
4.859	2.3568761e+032	2.2138873e+053
4.984	2.3568773e+030	2.214586e+052
5.109	2.3568786e+028	2.2152844e+051
5.219	2.3568799e+026	2.2159827e+050
5.344	2.3568812e+024	2.2166807e+049
5.469	2.3568824e+022	2.2173784e+048
5.594	2.356907e+020	2.2180759e+047
5.703	2.3569017e+018	2.2187802e+046
5.828	2.5909919e+016	2.2194782e+045
5.953	2.527198e+014	1.2734243e+045
6.078	2.5067823e+014	2.2995846e+043
6.203	2.4311544e+014	3.7940853e+043
6.312	2.4300884e+014	2.2554657e+043
6.437	2.3656265e+014	2.2549782e+043
6.562	2.3619857e+014	2.7763569e+043
6.672	2.357057e+014	2.2231545e+043
6.797	2.3539519e+014	2.2208417e+043
6.922	5.0539792e+013	2.2193789e+043
7.031	3.9524963e+013	5.0084313e+043
7.156	1.1494358e+016	9.0928307e+042
7.281	9.249564e+014	8.2075157e+045
7.391	2.4422971e+014	2.2379585e+045
7.516	6.3480203e+013	1.0812901e+045
7.641	2.8844859e+013	4.0125207e+044
7.766	2.0016384e+013	1.9670403e+044
7.875	1.8969244e+013	6.8150227e+043
8.000	1.8854559e+013	2.2128533e+043
8.125	1.8495528e+013	1.4676239e+043
8.234	1.8145473e+013	6.204344e+042
8.359	1.3835157e+013	6.1531975e+042
8.484	1.1312783e+013	5.3777844e+042
8.609	1.5676497e+017	4.8591771e+042
8.734	1.0627071e+016	3.0789175e+046
8.859	2.5052986e+015	7.6724961e+045
8.969	4.3021311e+014	3.556095e+045
9.094	1.2488837e+014	1.3843409e+045
9.219	3.5902877e+013	7.26197e+044
9.344	4.784321e+012	3.744279e+044
9.453	1.5028038e+012	1.1829606e+044
9.578	1.3892525e+012	2.3584865e+043
9.703	1.3796748e+012	1.1914821e+043
9.828	1.3631403e+012	5.4871931e+042
9.953	1.3605126e+012	4.6921471e+042
10.062	1.3544579e+012	4.682804e+042
10.187	1.3075866e+012	4.4410378e+042
10.312	1.2834642e+012	8.01629e+042
10.437	1.2809929e+012	5.6401335e+042
10.547	1.2799954e+012	2.7202815e+042
10.672	1.2792087e+012	3.3676696e+042
10.781	1.2780029e+012	1.9368417e+042
10.906	1.2771385e+012	4.2774375e+042
11.031	1.276626e+012	1.6280573e+042
11.141	1.2761774e+012	1.6277854e+042
11.266	1.2632353e+012	1.627532e+042
11.391	1.2585849e+012	5.9473362e+042
11.516	1.2579545e+012	1.6167262e+042
11.625	1.2573413e+012	1.6163354e+042
11.750	1.1305849e+012	1.6159499e+042
11.875	7.8715914e+011	5.3722292e+043
12.000	2.489706e+012	4.6003952e+042
12.109	9.49596e+011	1.6400367e+044
12.234	8.3418758e+011	5.2884352e+043
12.344	7.8665738e+011	1.8647198e+043
12.469	7.8266431e+011	6.6671606e+042
12.594	7.8183338e+011	2.7234496e+042
12.719	7.8158967e+011	1.4548852e+042
12.828	7.8146091e+011	1.2712214e+042
12.953	7.7895158e+011	1.2711518e+042
13.078	7.774175e+011	2.9417374e+042
13.203	7.772196e+011	1.268322e+042
13.312	7.7709089e+011	1.2681976e+042
13.437	7.8290322e+011	1.2681074e+042
13.562	7.5743268e+011	1.0640553e+043
13.687	7.5672925e+011	1.2521515e+042
13.797	7.5641429e+011	1.2516232e+042
13.922	7.5250835e+011	1.2513789e+042
14.047	7.5232959e+011	1.2480404e+042
14.172	7.5215586e+011	1.2479869e+042
14.281	7.52134e+011	1.2478454e+042
14.406	7.5108863e+011	1.2478304e+042
14.531	7.5053076e+011	1.6320553e+042
14.656	7.5029317e+011	1.2465396e+042
14.766	7.5004881e+011	1.2463571e+042
14.891	6.8209574e+011	1.2461554e+042
15.016	6.8055003e+011	2.4742841e+042
15.125	6.8287995e+011	2.5833438e+042
15.250	6.7868429e+011	5.0337546e+042
15.375	6.7839507e+011	1.4991996e+042
15.500	6.7802717e+011	1.1847426e+042
15.625	6.7723045e+011	1.1845549e+042
15.734	6.7696683e+011	1.1839243e+042
15.859	6.7375335e+011	1.1837249e+042
15.984	6.7321264e+011	1.1808764e+042
16.094	6.7170016e+011	1.1804728e+042
16.219	6.713066e+011	1.1791379e+042
16.344	6.5619363e+011	1.1788035e+042
16.469	6.5533844e+011	1.1651199e+042
16.594	6.5435544e+011	1.1645478e+042
16.719	6.5413437e+011	1.1636158e+042
16.828	6.5372765e+011	1.1634893e+042
16.953	6.5350486e+011	1.1631469e+042
17.078	6.9692283e+011	1.1629558e+042
17.203	5.3921967e+011	3.4068656e+043
17.328	5.3338216e+011	6.5165252e+042
17.453	5.3228709e+011	1.9726812e+042
17.563	5.3167843e+011	1.1932484e+042
17.688	5.3143122e+011	1.3050219e+042
17.813	5.3120346e+011	1.0472327e+042
17.938	5.3100308e+011	1.047085e+042
18.063	5.2800517e+011	1.0469321e+042
18.172	5.2205562e+011	5.8995327e+042
18.297	5.2099925e+011	2.032744e+042
18.422	5.2050955e+011	1.0373476e+042
18.547	5.1828717e+011	1.0369141e+042
18.656	5.181595e+011	1.0346177e+042
18.781	5.1795524e+011	1.034537e+042
18.906	5.17774e+011	1.0343439e+042
19.031	5.1312531e+011	1.0341693e+042
19.156	5.1246706e+011	1.1139122e+042
19.266	5.1186124e+011	1.0288092e+042
19.391	5.1160637e+011	1.0281985e+042
19.516	4.6320004e+011	1.0279408e+042
19.641	4.6338766e+011	1.914134e+042
19.750	5.8780686e+011	3.099942e+042
19.875	4.7002064e+011	2.4606036e+043
20.000	4.6355985e+011	9.7133439e+042
20.125	4.615932e+011	5.755658e+042
20.250	4.6099026e+011	3.1098161e+042
20.359	4.6086328e+011	9.7492876e+041
20.484	4.5941232e+011	9.7482624e+041
20.609	4.5908028e+011	9.7335623e+041
20.734	4.5817431e+011	9.7312241e+041
20.859	4.5793237e+011	9.7215256e+041
20.969	4.5649476e+011	9.7191656e+041
21.094	4.5483374e+011	9.7039301e+041
21.219	3.6233683e+011	9.6861808e+041
21.328	3.6093783e+011	5.6690448e+042
21.453	3.5877773e+011	7.7605773e+042
21.578	3.5849484e+011	3.133865e+042
21.703	3.577051e+011	2.8582104e+042
21.813	3.5740807e+011	2.1224582e+042
21.938	3.5672105e+011	1.6751048e+042
22.063	3.5647434e+011	2.3751351e+042
22.172	3.5618533e+011	9.2673389e+041
22.297	3.5603489e+011	1.6296978e+042
22.422	3.5590499e+011	8.6591004e+041
22.531	3.5563069e+011	9.2051102e+041
22.656	3.5409577e+011	8.5456132e+041
22.781	3.5403106e+011	8.5296878e+041
22.891	3.5394992e+011	8.5295196e+041
23.016	3.5390103e+011	8.5288223e+041
23.141	3.5253831e+011	8.5283208e+041
23.250	3.514738e+011	2.1102952e+042
23.375	3.5134418e+011	8.5004371e+041
23.500	3.511903e+011	8.4990449e+041
23.625	3.4371584e+011	8.4972008e+041
23.734	3.4355657e+011	8.4050267e+041
23.859	3.4332545e+011	8.4028199e+041
23.984	3.4326049e+011	8.4005519e+041
24.094	3.4291382e+011	8.3999009e+041
24.219	3.427724e+011	8.3957525e+041
24.344	3.3772422e+011	8.3940678e+041
24.469	3.3714788e+011	1.0664254e+042
24.578	3.3672702e+011	8.3238241e+041
24.703	3.366044e+011	8.318437e+041
24.828	3.3589333e+011	8.3171488e+041
